City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
108,norman wells,65.282,-126.8329,-10.979999999999961,85,100,2.57,CA,1670015522
109,izumo,35.3667,132.7667,3.6899999999999977,65,100,2.2,JP,1670015522
110,chuy,-33.6971,-53.4616,20.49000000000001,79,97,5.65,UY,1670015523
111,barrow,71.2906,-156.7887,0.010000000000047748,93,100,12.86,US,1670015523
112,punta arenas,-53.15,-70.9167,11.060000000000002,50,40,15.95,CL,1670015524
113,ughelli,5.4899,6.0074,25.680000000000007,84,91,1.87,NG,1670015524
114,thompson,55.7435,-97.8558,-22.95999999999998,88,6,1.87,CA,1670015525
115,yeppoon,-23.1333,150.7333,20.879999999999995,73,10,7.08,AU,1670015526
116,clyde river,70.4692,-68.5914,-21.869999999999976,77,100,19.55,CA,1670015526
117,umm kaddadah,13.6017,26.6876,21.439999999999998,20,11,6.57,SD,1670015527
118,lebu,-37.6167,-73.65,16.760000000000048,75,12,5.11,CL,1670015528
119,muros,42.7762,-9.0603,8.420000000000016,93,0,2.2,ES,1670015528
120,san andres,12.5847,-81.7006,29.010000000000048,70,20,7.72,CO,1670015529
121,veraval,20.9,70.3667,22.74000000000001,60,74,3.15,IN,1670015530
122,lesnoy,57.6198,63.0784,-20.94999999999999,94,5,1.62,RU,1670015531
123,hilo,19.7297,-155.09,30.160000000000025,96,100,3.6,US,1670015387
124,ust-maya,60.4167,134.5333,-31.849999999999966,99,100,0.46,RU,1670015531
125,saint george,37.1041,-113.5841,15.330000000000041,35,0,3.6,US,1670015461
126,cherskiy,68.75,161.3,-30.46999999999997,98,25,2.05,RU,1670015533
127,polunochnoye,60.8697,60.4153,-21.059999999999974,98,5,1.49,RU,1670015533
128,bredasdorp,-34.5322,20.0403,14.980000000000018,71,72,5.01,ZA,1670015534
129,marsh harbour,26.5412,-77.0636,24.180000000000007,62,19,11.45,BS,1670015534
130,riyadh,24.6877,46.7219,18.08000000000004,45,4,2.45,SA,1670015401
131,josefina,8.2,123.5333,20.510000000000048,95,100,0.98,PH,1670015535
132,yasnyy,51.0333,59.8742,-18.569999999999965,91,60,7.33,RU,1670015536
133,villanueva de la serena,38.9766,-5.7974,7.560000000000002,74,0,2.53,ES,1670015536
134,padang,-0.9492,100.3543,23.03000000000003,93,100,2.02,ID,1670015537
135,borba,-4.3878,-59.5939,26.30000000000001,83,100,1.39,BR,1670015538
136,buchanan,5.8808,-10.0467,25.560000000000002,84,100,3.19,LR,1670015381
137,burgeo,47.6167,-57.6152,0.07000000000005002,62,23,8.88,CA,1670015539
138,reconquista,-29.15,-59.65,33.19,21,28,3.52,AR,1670015537
139,pangkalanbuun,-2.6833,111.6167,23.57000000000005,97,100,1.04,ID,1670015540
140,makakilo city,21.3469,-158.0858,27.210000000000036,62,20,4.63,US,1670015540
